pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
46772,2019,2210,2426,40044,-36.5
46772,2020,1686,1807,30634,-23.5
46772,2021,957,999,28155,-8.1
46772,2022,256,270,2607,-90.7
46772,2023,807,856,5153,97.7
46772,2024,560,605,2363,-54.1
34097,2020,109,246,14360,
34097,2021,568,1379,95422,564.5
34097,2022,552,1162,83886,-12.1
34097,2023,650,1443,118476,41.2
34097,2024,550,1125,89879,-24.1
8491,2018,723,822,153166,
8491,2019,4181,5361,696604,354.8
8491,2020,4402,5671,780470,12.0
8491,2021,5649,6784,941808,20.7
8491,2022,5515,6483,1018624,8.2
8491,2023,5294,5908,963066,-5.5
8491,2024,3196,3663,519271,-46.1
22668,2018,461,940,201154,
22668,2019,353,682,187324,-6.9
22668,2020,215,456,107907,-42.4
22668,2021,199,377,111946,3.7
22668,2022,322,694,205286,83.4
22668,2023,252,554,155833,-24.1
22668,2024,29,45,16121,-89.7
21479,2020,136,524,57841,
21479,2021,462,2147,282348,388.1
21479,2022,336,1610,246609,-12.7
21479,2023,436,1805,263493,6.8
21479,2024,333,2435,245511,-6.8
31736,2021,779,1074,132334,
31736,2022,883,1114,142851,7.9
31736,2023,737,956,132938,-6.9
31736,2024,344,459,68348,-48.6
13557,2018,5868,6391,666488,
13557,2019,5763,6472,525179,-21.2
13557,2020,12109,13737,571975,8.9
13557,2021,14536,15892,668629,16.9
13557,2022,1360,1583,31465,-95.3
13557,2023,617,787,23929,-23.9
13557,2024,396,484,10372,-56.7
36226,2018,2070,2072,61701,
36226,2019,2509,2515,62282,0.9
36226,2020,1412,1412,28516,-54.2
36226,2021,3421,3434,67766,137.6
36226,2022,2721,2732,51718,-23.7
36226,2023,2505,2508,53026,2.5
36226,2024,1029,1034,21663,-59.1
54286,2021,120,626,43194,
54286,2022,185,906,64578,49.5
13530,2018,12,92,11962,
13530,2020,200,1982,276574,
13530,2021,511,3951,559499,102.3
13530,2022,488,4022,625420,11.8
13530,2023,607,5119,852582,36.3
13530,2024,99,1179,178044,-79.1
9918,2018,7447,7611,320128,
9918,2019,8566,8794,404978,26.5
9918,2020,4046,4150,214532,-47.0
9918,2021,3343,3436,198171,-7.6
9918,2022,5755,5913,312158,57.5
9918,2023,21894,22462,1541235,393.7
9918,2024,23040,23514,1094808,-29.0
53445,2020,12,13,223,
53445,2021,85,89,1412,534.6
53445,2022,1012,1037,35867,2440.0
53445,2023,1208,1255,46827,30.6
53445,2024,619,635,29184,-37.7
54849,2018,379,395,7651,
54849,2019,286,372,15510,102.7
54849,2020,341,516,36100,132.8
54849,2021,454,574,44761,24.0
11017,2018,1982,2133,109346,
11017,2019,4011,4255,386756,253.7
11017,2020,3866,3952,370532,-4.2
11017,2021,4068,4123,488695,31.9
11017,2022,3825,3867,509824,4.3
11017,2023,8558,8716,875494,71.7
11017,2024,7622,7687,741017,-15.4
49912,2018,401,408,37139,
49912,2019,266,270,26085,-29.8
49912,2020,234,236,20333,-22.1
49912,2021,201,201,15424,-24.1
49912,2022,489,497,28577,85.3
49912,2023,186,186,12225,-57.2
49912,2024,39,40,1617,-86.8
36015,2020,66,73,937,
36015,2021,164,197,2759,194.4
36015,2023,417,537,26772,
36015,2024,2452,4040,321516,1100.9
12883,2018,11216,23604,418332,
12883,2019,9927,20592,399875,-4.4
12883,2020,6921,14364,277929,-30.5
12883,2021,7310,15279,305493,9.9
12883,2022,8440,17998,418042,36.8
12883,2023,8279,17426,465965,11.5
12883,2024,7711,16753,430025,-7.7
47181,2019,65,147,11225,
47181,2020,106,212,18148,61.7
47181,2021,254,559,52876,191.4
47181,2022,67,137,13526,-74.4
47181,2023,84,164,16815,24.3
47181,2024,204,484,55108,227.7
28146,2018,1700,1711,29955,
28146,2019,1913,1922,39552,32.0
28146,2020,3449,3530,80851,104.4
28146,2021,5286,5399,117158,44.9
28146,2022,5513,5584,113084,-3.5
28146,2023,6125,6304,133611,18.2
28146,2024,5038,5228,113552,-15.0
33631,2018,605,666,15199,
33631,2019,448,483,21288,40.1
33631,2020,414,437,22387,5.2
33631,2021,490,519,38322,71.2
33631,2022,1160,1312,83890,118.9
33631,2023,2611,2901,170788,103.6
33631,2024,1285,1416,63412,-62.9
48030,2018,195,195,3728,
48030,2019,441,441,9754,161.7
48030,2020,612,640,15710,61.1
48030,2021,1408,1448,47209,200.5
48030,2022,1071,1092,32030,-32.2
48030,2023,1055,1116,30515,-4.7
48030,2024,667,667,20183,-33.9
33031,2018,207,219,4876,
33031,2019,6928,7557,263150,5296.8
33031,2020,4718,5145,165562,-37.1
12589,2018,58,97,619,
12589,2019,47,99,776,25.3
12589,2020,1239,1687,28606,3585.6
12589,2021,13222,15885,383286,1239.9
12589,2022,27165,31549,884484,130.8
12589,2023,26849,30482,896878,1.4
12589,2024,18624,24795,634133,-29.3
17221,2018,52,57,493,
17221,2020,1810,2519,96574,
17221,2021,12571,15873,565533,485.6
17221,2022,10261,12026,359361,-36.5
17221,2023,9847,11850,326971,-9.0
17221,2024,7724,9888,302299,-7.5
22550,2018,6685,7776,133960,
22550,2019,6103,7584,128423,-4.1
22550,2020,4088,4927,164685,28.2
22550,2021,5196,6697,293007,77.9
22550,2022,3274,3841,218694,-25.4
22550,2023,870,925,24220,-88.9
22550,2024,1018,1047,34180,41.1
6283,2018,56671,76888,7423639,
6283,2019,130,131,1567,-100.0
6283,2022,24,33,0,
27685,2018,487,642,42161,
27685,2019,521,686,47695,13.1
27685,2020,967,1236,83601,75.3
27685,2021,1378,1744,118779,42.1
27685,2022,1264,1588,123418,3.9
27685,2023,1277,1673,128030,3.7
27685,2024,1083,1420,106100,-17.1
38482,2018,218,4142,114210,
38482,2019,208,4660,107209,-6.1
38482,2020,167,3378,76566,-28.6
11012,2018,834108,913692,3422443,
11012,2023,7734,8292,29555,
11012,2024,6951,7355,34160,15.6
35088,2018,195,656,11876,
35088,2019,250,355,7532,-36.6
35088,2020,754,1443,38148,406.4
